id,name,last_modified_user_id,last_modified_date,created_user_id,created_date
1,"Accident and Emergency Service",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
2,"Adnexal Service",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
3,"Anaesthetic Service",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
4,"Cataract Service",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
5,"Corneal Service",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
6,"Glaucoma Service",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
7,"Medical Retina Service",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
8,"Paediatric Service",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
9,"Refractive Service",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
10,"Strabismus Service",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
11,"Vitreoretinal Service",1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
12,"Optometry Service",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
13,"Orthoptics Service",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
14,"EDD Service",1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
